Year,Settlement Event,Story Event,Innovation,Monster,Node,Level,Type,Deaths,Population,Notable Event
0,,Devour The White Lion,Language,Crimson Crocodile,1,0,Quarry,1,3,The Crimson Crocodile caved in Patrick Bateman's chest with three repeated torso attacks
1,First Crimson Day,First Story,Ammonia,Crimson Crocodile,1,1,Quarry,0,14,"On the Hunt, three people rolled criticals in the Gambler's Game of Death and gained +1 permanent Luck"
2,Jousting,Death of Song,Paint,Crimson Crocodile,1,1,Quarry,0,16,Buffalo Bill narrowly defeated Freddie Kruger in a Jousting match
3,Velvet Fog,,Inner Lantern,Smog Singers,2,1,Quarry,1,19,Gave birth to five children in one year
4,Haunted,Hooded Knight,Hovel,Smog Singers,2,1,Quarry,2,17,"Hooded Knight showed up, smoked two people, and left"
5,Plague,The Hanged Man,Scrap Smelting,Manhunter,1,1,Nemesis,0,16,Scored the Death Blow against the Manhunter and the settlement let Charlie die of the plague so they could innovate
5,,Hands of Heat,Lantern Oven,Smog Singers,2,2,Quarry,1,16,"Still defeated first level 2 fight, despite hitting the trap 3 times and drawing the Legendary AI card, all within the first few turns"
6,Knighting,Unwanted Gifts,Settlement Watch,Crimson Crocodile,1,2,Quarry,0,16,Annabelle scored 5 wounds in one turn using the paired razor cymbal after we hit the trap turn 1
7,Birth,"Self-Invited Guests, Lights in the Sky",Symposium,Smog Singers,2,2,Quarry,1,17,Ripley died during a blitzkrieg where we killed the monster after going only three times and a cursed Santa hat was found in the settlement
8,Death,"Promise Under The Sun, Hooded Knight",Family,Crimson Crocodile,1,2,Quarry,1,16,Not getting the damn Crimson Fin again -_-
9,It Rang,,,Atnas,2,1,Nemesis,0,15,"Atnas drew legendary turn 1, pacified Oliver, decapitated him and a random villager, and broke the other 3 survivors jaws"
9,,,,Sunstalker,3,1,Quarry,0,,
